epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,403.681,0.46048,0.32977,1.11467,0.99606,0.98046,0.99388,0.89019,0.39715,0.25655,1.02414,0.000848969,0.000848969,0.000848969
43,413.221,0.45469,0.32096,1.10876,0.99631,0.98515,0.99428,0.88996,0.39164,0.25306,1.02976,0.000834822,0.000834822,0.000834822
44,422.492,0.44975,0.32498,1.1109,0.9949,0.98073,0.99312,0.86941,0.41775,0.26061,1.01522,0.000820675,0.000820675,0.000820675
45,431.896,0.44759,0.32023,1.10473,0.99211,0.9925,0.99437,0.87846,0.39043,0.25739,1.0207,0.000806528,0.000806528,0.000806528
46,442.614,0.4429,0.30815,1.10076,0.99587,0.9861,0.9896,0.87466,0.40028,0.24978,0.99542,0.00079238,0.00079238,0.00079238
47,453.797,0.4466,0.31544,1.09505,0.99517,0.98627,0.99239,0.89128,0.3813,0.25245,1.02561,0.000778233,0.000778233,0.000778233
48,465.102,0.43898,0.31585,1.09392,0.9942,0.98784,0.9917,0.88382,0.38446,0.25792,1.01514,0.000764086,0.000764086,0.000764086
49,476.682,0.43836,0.30967,1.09463,0.99601,0.98956,0.99211,0.88292,0.38124,0.24643,1.02106,0.000749939,0.000749939,0.000749939
50,487.823,0.4374,0.31251,1.08959,0.99525,0.98052,0.99371,0.88873,0.38699,0.24841,1.02272,0.000735792,0.000735792,0.000735792
51,499.176,0.44349,0.31259,1.09325,0.99206,0.98742,0.99432,0.8879,0.38413,0.24865,1.01958,0.000721645,0.000721645,0.000721645
52,510.634,0.43875,0.30935,1.09201,0.99494,0.98461,0.99342,0.8922,0.37965,0.24994,1.02175,0.000707498,0.000707498,0.000707498
53,521.953,0.43691,0.30896,1.08705,0.98779,0.98619,0.99475,0.87687,0.39158,0.25728,1.00108,0.000693351,0.000693351,0.000693351
54,533.229,0.43843,0.31101,1.09153,0.99204,0.98285,0.99392,0.87817,0.39028,0.2599,1.01626,0.000679204,0.000679204,0.000679204
55,544.757,0.44251,0.31835,1.10932,0.99603,0.99005,0.99463,0.909,0.3666,0.25011,1.02116,0.000665057,0.000665057,0.000665057
56,556.146,0.4304,0.30668,1.09226,0.99122,0.99372,0.99431,0.89398,0.37619,0.2455,1.02398,0.000650909,0.000650909,0.000650909
57,567.388,0.43332,0.30636,1.08969,0.996,0.98941,0.99455,0.89282,0.3804,0.23929,1.00342,0.000636762,0.000636762,0.000636762
58,578.703,0.42554,0.30179,1.09275,0.99372,0.99243,0.99106,0.90278,0.37017,0.2406,1.02294,0.000622615,0.000622615,0.000622615
59,590.172,0.43478,0.3061,1.09563,0.99415,0.99008,0.99415,0.89054,0.38748,0.2423,1.01057,0.000608468,0.000608468,0.000608468
60,601.299,0.42853,0.30225,1.089,0.99285,0.98875,0.99321,0.89119,0.36982,0.2397,1.00362,0.000594321,0.000594321,0.000594321
61,612.609,0.42411,0.30007,1.08171,0.99303,0.98876,0.99392,0.90644,0.3662,0.23999,1.02441,0.000580174,0.000580174,0.000580174
62,622.717,0.43006,0.30607,1.10004,0.99603,0.99104,0.9945,0.89738,0.36797,0.2389,1.02068,0.000566027,0.000566027,0.000566027
63,632.015,0.42756,0.30078,1.08846,0.9944,0.98941,0.99404,0.90063,0.37733,0.23941,1.01853,0.00055188,0.00055188,0.00055188
64,641.944,0.41681,0.29343,1.08951,0.99214,0.9859,0.99292,0.90274,0.36601,0.24526,1.01476,0.000537733,0.000537733,0.000537733
65,651.45,0.41639,0.29136,1.07861,0.99473,0.98844,0.99402,0.90225,0.37126,0.23599,1.02423,0.000523586,0.000523586,0.000523586
66,661.139,0.41971,0.2958,1.09085,0.99469,0.9927,0.99294,0.90794,0.35761,0.23039,1.01964,0.000509438,0.000509438,0.000509438
67,670.926,0.42564,0.293,1.09328,0.99376,0.98696,0.99271,0.91019,0.36622,0.23263,1.01468,0.000495291,0.000495291,0.000495291
68,681.526,0.41428,0.29325,1.08121,0.99516,0.98956,0.99423,0.90417,0.36855,0.23168,1.01342,0.000481144,0.000481144,0.000481144
69,691.985,0.4185,0.29215,1.08984,0.99303,0.99334,0.99443,0.90206,0.35984,0.23132,1.01449,0.000466997,0.000466997,0.000466997
70,702.506,0.41507,0.29019,1.07705,0.99345,0.98667,0.99233,0.90458,0.35856,0.23495,1.01794,0.00045285,0.00045285,0.00045285
71,713.016,0.41774,0.29277,1.09319,0.99108,0.98926,0.99205,0.90797,0.36003,0.23539,1.01865,0.000438703,0.000438703,0.000438703
72,723.513,0.40904,0.28918,1.08752,0.99614,0.99728,0.99498,0.90568,0.36292,0.23005,1.01208,0.000424556,0.000424556,0.000424556
73,734.02,0.41203,0.28803,1.08656,0.99724,0.99121,0.99479,0.90891,0.36073,0.23057,1.01926,0.000410409,0.000410409,0.000410409
74,744.564,0.41398,0.2914,1.0941,0.98981,0.99263,0.99423,0.90698,0.35664,0.22917,1.00626,0.000396262,0.000396262,0.000396262
75,754.996,0.40645,0.28575,1.07939,0.99284,0.99502,0.99476,0.90949,0.35325,0.23109,1.01125,0.000382115,0.000382115,0.000382115
76,765.535,0.41173,0.28538,1.07891,0.99437,0.9923,0.99485,0.9127,0.35148,0.22548,1.00771,0.000367967,0.000367967,0.000367967
77,775.857,0.40323,0.28314,1.08718,0.9966,0.98948,0.99445,0.91456,0.35152,0.22416,1.01287,0.00035382,0.00035382,0.00035382
